module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
RegCM5 HPC DevOps,hpc-dev-documentation-modernization,Modernize Documentation,DM,"Corrects stale docs, writes GPU-porting guidance, updates namelist docs, adopts FORD incrementally.",run,[doc target],5-docs,,,false,,corrected docs + FORD config
RegCM5 HPC Test Architect,hpc-test-agent-test-architect,Talk to Matteo (Test Architect),IS,"Designs risk-based test coverage, audits regression evidence, and renders gate decisions.",converse,,anytime,,,false,,test plans and gate decisions
RegCM5 HPC Test Architect,hpc-test-test-framework,Bootstrap Test Framework,TF,Bootstraps the regression-harness layout for a new fixture or subsystem.,run,[fixture/subsystem],anytime,,,false,,Slurm template + regression_diff.py wiring
RegCM5 HPC Test Architect,hpc-test-test-design,Design Test Coverage,TD,"Produces a risk-based test-coverage plan: tolerance tier, nproc legs, compiler legs.",run,[story/change],anytime,,"hpc-test-regression-automate:run,hpc-test-mpi-correctness-verification:run,hpc-test-scientific-correctness-verification:run",false,,coverage matrix
RegCM5 HPC Test Architect,hpc-test-regression-automate,Automate Regression Coverage,RA,Expands regression coverage by wrapping regression_diff.py.,run,[feature/field],anytime,hpc-test-test-design:run,,false,,fixture wiring + tolerance-table entries
RegCM5 HPC Test Architect,hpc-test-test-review,Review Test Quality,TR,Audits fixture/threshold/Slurm-script quality.,run,[fixture set],anytime,,,false,,issue list
RegCM5 HPC Test Architect,hpc-test-nfr-assess,Assess NFR Evidence,NF,"Audits numerical-reproducibility, performance, I/O-scalability, and portability evidence.",run,[change],anytime,,hpc-test-trace-and-gate:run,false,,per-category compliance report
RegCM5 HPC Test Architect,hpc-test-trace-and-gate,Render Gate Decision,GT,Renders a PASS/CONCERNS/FAIL verdict combining CI status and Slurm validation.,run,[change],anytime,"hpc-test-nfr-assess:run,hpc-test-mpi-correctness-verification:run,hpc-test-scientific-correctness-verification:run,hpc-test-coupling-contract-verification:run",,false,,PASS/CONCERNS/FAIL verdict + rationale
RegCM5 HPC Test Architect,hpc-test-baseline-lifecycle,Audit/Promote Baseline,BL,Audits and promotes regression baselines by wrapping manage_baseline.py.,run,[candidate run],anytime,,hpc-test-trace-and-gate:run,false,FAST_BASELINE_ROOT,promotion decision + manifest entry
RegCM5 HPC Test Architect,hpc-test-mpi-correctness-verification,Review MPI Correctness,MC,"Reviews ranks, collectives, send/receive ordering, reductions, and decomposition tests.",run,[diff],anytime,,hpc-test-trace-and-gate:run,false,,MPI-correctness review report
RegCM5 HPC Test Architect,hpc-test-scientific-correctness-verification,Review Scientific Correctness,SC,"Reviews affected fields, tolerance tier, metadata, restart reproducibility, and physical-scheme consistency.",run,[diff],anytime,,hpc-test-trace-and-gate:run,false,,scientific-correctness review report
RegCM5 HPC Test Architect,hpc-test-coupling-contract-verification,Review Coupling Contract,CC,Reviews OASIS3-MCT/REGESM/CLM/BMI/CISM field lists and regression coverage.,run,[coupled change],anytime,,hpc-test-trace-and-gate:run,false,,per-mechanism field-list/coverage report
